round,pick,name,nfl,college,rating_nfl,height_cm,weight_kg,comp_col,td_int_col,rating_col
1,1,Baker Mayfield,Browns,Oklahoma,93.4,185,97,68.5,4.366666666666666,175.4
1,3,Sam Darnold,Jets,USC,69.5,190,102,64.9,2.590909090909091,153.7
1,7,Josh Allen,Bills,Wyoming,62.8,196,107,56.2,2.0952380952380953,137.7
1,10,Josh Rosen,Cardinals,UCLA,68.3,193,98,60.9,2.269230769230769,140.1
1,32,Lamar Jackson,Ravens,Louisville,79.9,188,96,57.0,2.5555555555555554,142.9
1,2,Mitch Trubisky,Bears,North Carolina,85.0,190,100,67.5,4.1,157.6
1,10,Patrick Mahomes,Chiefs,Texas Tech,112.5,190,104,63.5,3.206896551724138,152.0
1,12,Deshaun Watson,Texans,Clemson,101.6,188,99,67.4,2.8125,157.5
2,52,DeShone Kizer,Browns,Notre Dame,60.0,193,106,60.7,2.473684210526316,147.7
3,104,C.J. Beathard,49ers,Iowa,74.6,188,97,58.1,2.1052631578947367,129.8
1,1,Jared Goff,Rams,California,94.1,193,100,62.3,3.2,144.0
1,2,Carson Wentz,Eagles,North Dakota State,92.5,196,107,64.1,3.2142857142857144,153.9
1,26,Paxton Lynch,Broncos,Memphis,76.7,201,110,62.9,2.5652173913043477,137.0
3,91,Jacoby Brissett,Patriots,North Carolina State,81.6,193,106,59.5,3.066666666666667,131.3
3,93,Cody Kessler,Browns,USC,86.1,185,97,67.5,4.631578947368421,156.4
4,100,Connor Cook,Raiders,Michigan State,83.4,193,97,57.5,3.227272727272727,139.8
1,1,Jameis Winston,Buccaneers,Florida State,87.3,193,104,66.0,2.3214285714285716,163.3
1,2,Marcus Mariota,Titans,Oregon,89.5,193,100,66.8,7.5,171.8
3,89,Sean Mannion,Rams,Oregon State,65.0,198,101,64.6,1.537037037037037,135.8
4,103,Bryce Petty,Jets,Baylor,57.7,190,102,62.7,6.2,166.0
1,3,Blake Bortles,Jaguars,Central Florida,80.9,196,107,65.7,2.9473684210526314,153.8
1,22,Johnny Manziel,Browns,Texas A&M,74.4,183,93,68.9,2.8636363636363638,164.1
1,32,Teddy Bridgewater,Vikings,Louisville,86.2,188,97,68.4,3.0,157.2
1,16,EJ Manuel,Bills,Florida State,77.1,193,107,66.9,1.6785714285714286,150.4
2,39,Geno Smith,Jets,West Virginia,72.7,190,100,67.4,4.666666666666667,153.5
3,73,Mike Glennon,Buccaneers,North Carolina State,83.2,198,103,60.4,2.032258064516129,132.3
4,98,Matt Barkley,Eagles,USC,68.3,188,102,64.1,2.4166666666666665,148.7
4,115,Landry Jones,Steelers,Oklahoma,86.2,193,102,63.6,2.3653846153846154,141.5
1,1,Andrew Luck,Colts,Stanford,89.3,193,108,67.0,3.727272727272727,162.8
1,8,Ryan Tannehill,Dolphins,Texas A&M,87.8,193,93,62.5,2.0,134.2
1,22,Brandon Weeden,Browns,Oklahoma State,76.0,190,102,69.5,2.7777777777777777,157.6
2,57,Brock Osweiler,Broncos,Arizona State,78.0,201,108,60.6,2.2,135.0
3,88,Nick Foles,Eagles,Arizona,87.0,198,110,66.8,2.0303030303030303,138.1
4,102,Kirk Cousins,Redskins,Michigan State,94.6,190,91,64.1,2.2,146.1
3,96,Terrelle Pryor,Raiders,Ohio State,69.3,193,103,60.9,2.1923076923076925,144.6
1,1,Cam Newton,Panthers,Auburn,86.7,196,111,65.4,4.285714285714286,178.2
1,8,Jake Locker,Titans,Washington,79.0,188,103,54.0,1.5142857142857142,119.1
1,10,Blaine Gabbert,Jaguars,Missouri,71.6,193,106,60.9,2.2222222222222223,132.6
1,12,Christian Ponder,Vikings,Florida State,75.9,188,100,61.8,1.6333333333333333,132.1
2,35,Andy Dalton,Bengals,Texas Christian,88.8,188,99,61.7,2.3666666666666667,140.7
2,36,Colin Kaepernick,49ers,Nevada,88.9,193,102,58.2,3.4166666666666665,142.5
3,74,Ryan Mallett,Patriots,Arkansas,66.8,198,108,57.8,2.875,150.4
1,1,Sam Bradford,Rams,Oklahoma,84.5,193,101,67.6,5.5,175.6
1,25,Tim Tebow,Broncos,Florida,75.3,188,107,66.4,5.5,170.8
2,48,Jimmy Clausen,Panthers,Notre Dame,61.9,190,98,62.6,2.2222222222222223,137.2
3,85,Colt McCoy,Browns,Texas,78.9,185,95,70.3,2.488888888888889,155.0
4,122,Mike Kafka,Eagles,Northwestern,47.7,190,97,64.1,0.95,123.9
1,1,Matthew Stafford,Lions,Georgia,88.4,190,99,57.1,1.5454545454545454,133.3
1,5,Mark Sanchez,Jets,USC,73.2,188,105,64.3,2.5625,153.9
1,17,Josh Freeman,Buccaneers,Kansas State,77.6,198,108,59.1,1.2941176470588236,124.7
4,101,Stephen McGee,Cowboys,Texas A&M,82.4,188,101,59.5,2.1538461538461537,124.1
1,3,Matt Ryan,Falcons,Boston College,94.6,193,98,59.9,1.5135135135135136,126.2
2,56,Brian Brohm,Packers,Louisville,26.0,190,102,65.8,2.9583333333333335,157.9
2,57,Chad Henne,Dolphins,Michigan,75.5,190,100,59.7,2.3513513513513513,133.9
3,94,Kevin O'Connell,Patriots,San Diego State,73.6,196,102,57.7,1.3529411764705883,121.1
1,1,JaMarcus Russell,Raiders,Louisiana State,65.2,198,120,61.9,2.4761904761904763,147.9
1,22,Brady Quinn,Browns,Notre Dame,64.4,193,105,58.0,2.4358974358974357,134.4
2,36,Kevin Kolb,Eagles,Houston,78.9,190,98,61.6,2.7419354838709675,145.1
2,43,Drew Stanton,Lions,Michigan State,66.3,190,102,64.2,1.5,138.7
3,92,Trent Edwards,Bills,Stanford,75.5,193,104,56.3,1.0909090909090908,115.1
1,3,Vince Young,Titans,Texas,74.4,196,104,61.8,1.5714285714285714,144.9
1,10,Matt Leinart,Cardinals,USC,70.2,196,102,64.8,4.304347826086956,159.5
1,11,Jay Cutler,Broncos,Vanderbilt,85.3,190,102,57.2,1.6388888888888888,125.9
2,49,Kellen Clemens,Jets,Oregon,68.9,188,101,61.0,2.5416666666666665,139.4
2,64,Tarvaris Jackson,Vikings,Alabama State,78.5,188,102,35.4,0.3333333333333333,64.1
3,81,Charlie Whitehurst,Chargers,Clemson,74.9,193,99,59.7,1.065217391304348,124.2
3,85,Brodie Croyle,Chiefs,Alabama,67.8,188,92,56.2,1.8636363636363635,128.4
1,1,Alex Smith,49ers,Utah,87.3,193,96,66.3,5.875,164.4
1,24,Aaron Rodgers,Packers,California,103.4,188,102,63.8,3.3076923076923075,150.3
3,67,Charlie Frye,Browns,Akron,69.7,193,98,63.6,2.0,138.5
4,106,Kyle Orton,Bears,Purdue,81.2,193,102,58.8,2.25,128.9
1,4,Philip Rivers,Giants,North Carolina State,96.0,196,103,63.6,2.7941176470588234,144.2
1,11,Ben Roethlisberger,Steelers,Miami (OH),94.3,196,108,65.5,2.4705882352941178,151.3
1,22,J.P. Losman,Bills,Tulane,75.6,190,99,57.8,2.2222222222222223,129.8
3,90,Matt Schaub,Falcons,Virginia,89.1,198,111,67.0,2.1538461538461537,138.4
4,106,Luke McCown,Browns,Louisiana Tech,71.3,190,94,59.9,1.403225806451613,129.0
1,1,Carson Palmer,Bengals,USC,87.9,196,106,59.1,1.469387755102041,131.2
1,19,Kyle Boller,Ravens,California,69.5,190,99,47.8,1.3333333333333333,108.2
3,88,Dave Ragone,Texans,Louisville,47.4,190,111,58.1,2.5517241379310347,134.8
3,97,Chris Simms,Buccaneers,Texas,69.1,193,99,58.7,1.8709677419354838,138.4
4,110,Seneca Wallace,Seahawks,Iowa State,80.8,180,88,57.7,0.9629629629629629,124.6
1,1,David Carr,Texans,Fresno State,74.9,190,97,62.7,2.9545454545454546,151.2
1,3,Joey Harrington,Lions,Oregon,69.4,193,99,55.2,2.5652173913043477,133.8
1,32,Patrick Ramsey,Redskins,Tulane,74.9,188,102,58.9,1.411764705882353,126.0
3,81,Josh McCown,Cardinals,Sam Houston State,79.7,193,98,51.2,0.7941176470588235,105.3
4,108,David Garrard,Jaguars,East Carolina,85.8,185,110,57.0,1.5384615384615385,132.1
4,117,Rohan Davey,Patriots,Louisiana State,56.5,188,111,59.8,1.9333333333333333,151.2
1,1,Michael Vick,Falcons,Virginia Tech,80.4,183,97,56.0,1.9090909090909092,150.6
2,32,Drew Brees,Chargers,Purdue,97.8,183,94,61.1,2.0,132.5
2,53,Quincy Carter,Cowboys,Georgia,71.7,188,96,56.6,1.4,127.8
2,59,Marques Tuiasosopo,Raiders,Washington,48.1,185,99,54.9,1.1071428571428572,121.7
4,106,Chris Weinke,Panthers,Florida State,62.2,193,105,58.7,2.46875,151.1
4,109,Sage Rosenfels,Redskins,Iowa State,81.2,193,100,52.1,0.6923076923076923,113.0
4,125,Jesse Palmer,Giants,Florida,59.8,188,102,53.0,1.8235294117647058,133.1
1,18,Chad Pennington,Jets,Marshall,90.1,190,102,63.6,3.566666666666667,157.6
3,75,Chris Redman,Ravens,Louisville,78.6,190,101,61.4,1.6470588235294117,134.6
1,1,Tim Couch,Browns,Kentucky,75.1,193,99,67.1,2.1142857142857143,141.7
1,2,Donovan McNabb,Eagles,Syracuse,85.6,188,108,58.4,2.9615384615384617,155.1
1,3,Akili Smith,Bengals,Oregon,52.8,190,99,56.6,3.0,153.1
1,11,Daunte Culpepper,Vikings,Central Florida,87.8,193,119,65.7,2.25,153.1
1,12,Cade McNown,Bears,UCLA,67.7,185,94,55.5,1.6585365853658536,138.9
